"filename", "language", "Processing", "Markdown", "comment", "blank", "total"
"d:\proyFinalPOO\AccessibilityManager.pde", "Processing", 354, 0, 18, 63, 435
"d:\proyFinalPOO\AssetManager.pde", "Processing", 183, 0, 49, 46, 278
"d:\proyFinalPOO\Button.pde", "Processing", 207, 0, 12, 42, 261
"d:\proyFinalPOO\CleanupManager.pde", "Processing", 18, 0, 9, 6, 33
"d:\proyFinalPOO\Collectible.pde", "Processing", 412, 0, 42, 71, 525
"d:\proyFinalPOO\CollectibleManager.pde", "Processing", 263, 0, 49, 64, 376
"d:\proyFinalPOO\DebugSystem.pde", "Processing", 418, 0, 94, 101, 613
"d:\proyFinalPOO\EcoSystem.pde", "Processing", 245, 0, 22, 49, 316
"d:\proyFinalPOO\FloatingText.pde", "Processing", 102, 0, 21, 24, 147
"d:\proyFinalPOO\Game.pde", "Processing", 688, 0, 202, 188, 1078
"d:\proyFinalPOO\GameConstants.pde", "Processing", 10, 0, 8, 2, 20
"d:\proyFinalPOO\GameInitializer.pde", "Processing", 63, 0, 21, 19, 103
"d:\proyFinalPOO\GameManager.pde", "Processing", 85, 0, 23, 25, 133
"d:\proyFinalPOO\GameRenderer.pde", "Processing", 117, 0, 23, 23, 163
"d:\proyFinalPOO\GameStateManager.pde", "Processing", 41, 0, 19, 15, 75
"d:\proyFinalPOO\InputHandler.pde", "Processing", 295, 0, 49, 51, 395
"d:\proyFinalPOO\Menu.pde", "Processing", 701, 0, 207, 155, 1063
"d:\proyFinalPOO\Obstacle.pde", "Processing", 275, 0, 75, 56, 406
"d:\proyFinalPOO\ObstacleManager.pde", "Processing", 146, 0, 26, 29, 201
"d:\proyFinalPOO\ObstacleTypes.pde", "Processing", 33, 0, 10, 9, 52
"d:\proyFinalPOO\Platform.pde", "Processing", 164, 0, 54, 40, 258
"d:\proyFinalPOO\PlatformManager.pde", "Processing", 119, 0, 28, 29, 176
"d:\proyFinalPOO\PlatformTypes.pde", "Processing", 72, 0, 17, 21, 110
"d:\proyFinalPOO\Player.pde", "Processing", 516, 0, 99, 110, 725
"d:\proyFinalPOO\PowerUp.pde", "Processing", 185, 0, 35, 42, 262
"d:\proyFinalPOO\README.md", "Markdown", 0, 50, 0, 23, 73
"d:\proyFinalPOO\ScoreManager.pde", "Processing", 101, 0, 20, 26, 147
"d:\proyFinalPOO\SoundManager.pde", "Processing", 122, 0, 126, 45, 293
"d:\proyFinalPOO\VideoIntroMenu.pde", "Processing", 486, 0, 137, 95, 718
"d:\proyFinalPOO\Weather.pde", "Processing", 301, 0, 63, 61, 425
"d:\proyFinalPOO\proyFinalPOO.pde", "Processing", 38, 0, 12, 15, 65
"Total", "-", 6760, 50, 1570, 1545, 9925
